slug,title,asset_count,evidence_terms,representative_assets,reason_not_promoted,owner_decision,owner_notes
halloween-pumpkin,Halloween Pumpkin Coloring Pages,7,halloween pumpkin,chibi__chibi-holiday-halloween-pumpkin-carving-party-coloring-page__eb38dfff5d; chibi__chibi-holiday-halloween-pumpkin-patch-with-cornstalks-and-scarecrow-colo__d7adf41e8e; chibi__chibi-holiday-halloween-pumpkin-patch-with-crows-flying-over-coloring-pa__91ce03c1b2; chibi__chibi-holiday-halloween-pumpkin-patch-with-family-picking-pumpkins-color__01c2f0ce30; chibi__chibi-holiday-halloween-pumpkin-pie-and-spice-decor-scene-coloring-page__7d3c695c2b; holiday__holiday-halloween-pumpkin-carving-party-coloring-apage__cc699065d9; holiday__holiday-halloween-pumpkin-patch-with-family-picking-pumpkins-coloring-pa__236c4af6d3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
high-speed,High Speed Coloring Pages,7,high speed,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-chinese-high-speed-crh-trai__4d8766c6dc; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-french-tgv-high-speed-train__9e03f0fcc7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-german-ice-high-speed-train__0856777127; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-at-__ab0e0253c0; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-cro__130d98c162; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-lea__a45395998c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-on-__5e359d2a25,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
holiday-halloween-candy,Holiday Halloween Candy Coloring Pages,7,holiday halloween candy,chibi__chibi-holiday-halloween-candy-bucket-filled-with-treats-coloring-page__27d5c14d60; chibi__chibi-holiday-halloween-candy-corn-pattern-background-coloring-page__7e70d5d5ae; chibi__chibi-holiday-halloween-candy-stall-at-halloween-festival-coloring-page__50f8dcfa9b; chibi__chibi-holiday-halloween-candy-trail-leading-to-haunted-door-coloring-pag__64ae58c6d8; holiday__holiday-halloween-candy-bucket-filled-with-treats-coloring-page__1c60d58016; holiday__holiday-halloween-candy-corn-coloring-page__a82a9ad584; holiday__holiday-halloween-candy-corn-pattern-background-coloring-page__3d62d9779b,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
holiday-halloween-pumpkin,Holiday Halloween Pumpkin Coloring Pages,7,holiday halloween pumpkin,chibi__chibi-holiday-halloween-pumpkin-carving-party-coloring-page__eb38dfff5d; chibi__chibi-holiday-halloween-pumpkin-patch-with-cornstalks-and-scarecrow-colo__d7adf41e8e; chibi__chibi-holiday-halloween-pumpkin-patch-with-crows-flying-over-coloring-pa__91ce03c1b2; chibi__chibi-holiday-halloween-pumpkin-patch-with-family-picking-pumpkins-color__01c2f0ce30; chibi__chibi-holiday-halloween-pumpkin-pie-and-spice-decor-scene-coloring-page__7d3c695c2b; holiday__holiday-halloween-pumpkin-carving-party-coloring-apage__cc699065d9; holiday__holiday-halloween-pumpkin-patch-with-family-picking-pumpkins-coloring-pa__236c4af6d3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
honda,Honda Coloring Pages,7,honda,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-honda__6c7956f8c7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-honda-civic-type-r__327e29e835; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-honda-civic-type-r-car__d86bf41cc5; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-honda-crv__53d94a7350; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-honda-pilot__d01277d561; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-honda-s2000__d4d3bbdabe; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-honda-s2000-car__e4aac7368f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
jackal,Jackal Coloring Pages,7,jackal,chibi__chibi-plushie-jackal__aab942cb2a; holiday__holiday-birthday-celebration-plushie-jackal-family__c7361579af; holiday__holiday-christmas-plushie-jackal-family__ead026662d; holiday__holiday-halloween-costume-plushie-jackal-family__3f829127df; mandala-geometry-patterns__mandala-geometry-patterns-plushie-jackal__20aad029f8; plushie__plushie-jackal__0394683b3a; plushie__plushie-jackal-family__d47fff4ab1,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
kimono,Kimono Coloring Pages,7,kimono,anime-girls__anime-girl-kimono-eating-rice-balls__a0a6e65af7; anime-girls__anime-girl-kimono-eating-tasty-rice-balls__3c6fa6fcc2; anime-girls__anime-girl-kimono-warrior-smoke-pipe__746838b0cb; anime-girls__anime-girl-sushi-kimono-dress__fdb0d7c7bc; mandala-geometry-patterns__mandala-geometry-patterns-japan-kimono-boy__2127738439; mandala-geometry-patterns__mandala-geometry-patterns-japan-kimono-fashion-display__4a32d54342; mandala-geometry-patterns__mandala-geometry-patterns-japan-kimono-girl__f37589b029,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
kiwi-bird,Kiwi Bird Coloring Pages,7,kiwi bird,chibi__chibi-plushie-kiwi-bird__4205a7df9c; holiday__holiday-birthday-celebration-plushie-kiwi-bird-family__9963fbea51; holiday__holiday-christmas-plushie-kiwi-bird-family__74b818195a; holiday__holiday-halloween-costume-plushie-kiwi-bird-family__3db0c616ff; mandala-geometry-patterns__mandala-geometry-patterns-plushie-kiwi-bird__c6086e0797; plushie__plushie-kiwi-bird__7158ababd8; plushie__plushie-kiwi-bird-family__149d70d668,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
ladybug,Ladybug Coloring Pages,7,ladybug,anime-girls__anime-girl-summoning-ladybug-plushies__1f15484f70; insects__insects-ladybug__4ddc087c47; insects__insects-ladybug-flying-with-spread-wings__d8a0372343; insects__insects-ladybug-on-daisy__5a620e7456; mandala-geometry-patterns__mandala-geometry-patterns-insects-ladybug__f3edbe5005; mandala-geometry-patterns__mandala-geometry-patterns-ladybug__931591803f; mandala-geometry-patterns__mandala-geometry-patterns-ladybug-patterns__42d3f4011f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
lanterns,Lanterns Coloring Pages,7,lanterns,chibi__chibi-holiday-halloween-trick-or-treat-walkway-lined-with-lanterns-color__604d716265; holiday__holiday-halloween-trick-or-treat-walkway-lined-with-lanterns-coloring-pa__ac8d74f0a9; holiday__holiday-halloween-trick-or-treat-with-lanterns-coloring-page__0b0a06368b; mandala-geometry-patterns__mandala-geometry-patterns-japan-festival-lanterns__1833e65507; mandala-geometry-patterns__mandala-geometry-patterns-plushie-lanterns__c7c0f4b528; mandala-geometry-patterns__mandala-geometry-patterns-sushi-japanese-paper-lanterns__9ec2b6cc08; midieval__midieval-fantasy-enchanted-lanterns__69f8d7ee08,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
lava,Lava Coloring Pages,7,lava,anime-girls__anime-girl-summoning-jutsu-lava-dragon__a68919389d; chibi__chibi-dungeon-adventure-bridge-over-lava__906729f5e5; chibi__chibi-dungeon-lava-river__a0d17904e8; chibi__chibi-lava-dragon__8b627e937f; fantasy__fantasy-mythology-dragons-lava-dragon__135143c1e7; mandala-geometry-patterns__mandala-geometry-patterns-cave-volcanic-lava-cave__c4e44f88d1; midieval__midieval-fantasy-lava-bridge__426bb983fd,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
locomotive-train,Locomotive Train Coloring Pages,7,locomotive train,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-entering-mountain-tun__d54768a03f; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-passing-over-long-via__b6b87eb7c0; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-passing-over-viaduct-__33a77a8607; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-passing-through-snowy__cf12022ea2; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-passing-through-snowy__5b3432cf1c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-roundhouse-with-multi__ff4991ca7b; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-train-roundhouse-with-multi__eaa473bdb1,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
lynx,Lynx Coloring Pages,7,lynx,chibi__chibi-plushie-lynx__54651154e9; holiday__holiday-birthday-celebration-plushie-lynx-family__ae3d56b832; holiday__holiday-christmas-plushie-lynx-family__4ba8a7bcec; holiday__holiday-halloween-costume-plushie-lynx-family__f48d47ade7; mandala-geometry-patterns__mandala-geometry-patterns-plushie-lynx__4ac2d48267; plushie__plushie-lynx__04c58818eb; plushie__plushie-lynx-family__5d5139966f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
medieval-fantasy-dragon,Medieval Fantasy Dragon Coloring Pages,7,medieval fantasy dragon,chibi__chibi-midieval-fantasy-dragon-slayer__44eb09cef0; midieval__midieval-fantasy-dragon__1a7697a3b2; midieval__midieval-fantasy-dragon-hoard__c360706294; midieval__midieval-fantasy-dragon-rider__350d21ceff; midieval__midieval-fantasy-dragon-scale-armor__26c1c19b9f; midieval__midieval-fantasy-dragon-skull-gate__942845f67a; midieval__midieval-fantasy-dragon-slayer__a126994e77,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
meerkat,Meerkat Coloring Pages,7,meerkat,chibi__chibi-plushie-meerkat__022438e185; holiday__holiday-birthday-celebration-plushie-meerkat-family__23c5ef3580; holiday__holiday-christmas-plushie-meerkat-family__6073c2b39e; holiday__holiday-halloween-costume-plushie-meerkat-family__7d4a7c42f9; mandala-geometry-patterns__mandala-geometry-patterns-plushie-meerkat__eddb6b24f1; plushie__plushie-meerkat__4587cbf631; plushie__plushie-meerkat-family__10c322d1ce,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
moon-chibi,Moon Chibi Coloring Pages,7,moon chibi,chibi__chibi-holiday-halloween-black-cat-sitting-on-fence-under-moon-coloring-p__81d2ff4c89; chibi__chibi-holiday-halloween-haunted-house-on-hill-under-full-moon-coloring-p__6de4b2a74b; chibi__chibi-holiday-halloween-vampire-holding-goblet-under-crescent-moon-color__62c9c0a50f; chibi__chibi-holiday-halloween-werewolf-howling-under-full-moon-coloring-page__a6643004a9; chibi__chibi-holiday-halloween-werewolf-standing-atop-rock-under-moon-coloring-__a8e1c3adf2; chibi__chibi-holiday-halloween-witch-flying-on-broomstick-across-moon-coloring-__c631f661fc; chibi__chibi-plushie-moon__01ed9427ef,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
near,Near Coloring Pages,7,near,chibi__chibi-holiday-halloween-witch-reading-spellbook-near-cauldron-coloring-p__4c5f9d69ca; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-mountain-tourist-train-near__a7a794ee64; sea-life__sea-life-blue-whale-swimming-near-surface__4adfd0081f; sea-life__sea-life-damselfish-school-near-coral__51d1188271; sea-life__sea-life-dugong-near-mangrove-shore__31ef268609; sea-life__sea-life-hawksbill-turtle-near-coral__b07c45d087; sea-life__sea-life-tiger-shark-swimming-near-reef__e26e0df69f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
owl-birds,Owl Birds Coloring Pages,7,owl birds,birds__birds-barn-owl__17018a266e; birds__birds-great-horned-owl__49837e4c8e; birds__birds-long-eared-owl__738e4e3fa3; birds__birds-owl__d68dcf1f0b; birds__birds-screech-owl__b4cba0244b; birds__birds-short-eared-owl__8079801fab; birds__birds-snowy-owl__7d1c01520f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
pangolin,Pangolin Coloring Pages,7,pangolin,chibi__chibi-plushie-pangolin__8a0dbe8d5e; holiday__holiday-birthday-celebration-plushie-pangolin-family__3ce1bd37be; holiday__holiday-christmas-plushie-pangolin-family__8c961a7a81; holiday__holiday-halloween-costume-plushie-pangolin-family__175488db45; mandala-geometry-patterns__mandala-geometry-patterns-plushie-pangolin__9f8bc3f428; plushie__plushie-pangolin__c6cc2f0878; plushie__plushie-pangolin-family__788ec14fe3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
passenger,Passenger Coloring Pages,7,passenger,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-double-decker-passenger-tra__f736317bf4; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-double-decker-passenger-tra__e2db070bec; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-intercity-passenger-train-c__2b48d7893e; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-long-distance-passenger-tra__a608d5a96b; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-passenger-train-arriving-at__37d1d6ceea; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-passenger-train-departing-t__44b33aa65b; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-planes-passenger-plane__cd876c9f1b,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-axolotl,Plushie Axolotl Coloring Pages,7,plushie axolotl,chibi__chibi-plushie-axolotl__03ca11d572; holiday__holiday-birthday-celebration-plushie-axolotl-family__68b71fbde5; holiday__holiday-christmas-plushie-axolotl-family__0cc3764936; holiday__holiday-halloween-costume-plushie-axolotl-family__934101625f; mandala-geometry-patterns__mandala-geometry-patterns-plushie-axolotl__ec2bff38fc; plushie__plushie-axolotl__82aeaf7ca3; plushie__plushie-axolotl-family__ec8c112db0,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-blue,Plushie Blue Coloring Pages,7,plushie blue,chibi__chibi-plushie-blue-whale__a89416a0fd; holiday__holiday-birthday-celebration-plushie-blue-whale-family__6ff1eda4f1; holiday__holiday-christmas-plushie-blue-whale-family__74ad899045; holiday__holiday-halloween-costume-plushie-blue-whale-family__db12fb87f0; mandala-geometry-patterns__mandala-geometry-patterns-plushie-blue-whale__69178ba3b5; plushie__plushie-blue-whale__17d0990688; plushie__plushie-blue-whale-family__b536e62edd,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-blue-whale,Plushie Blue Whale Coloring Pages,7,plushie blue whale,chibi__chibi-plushie-blue-whale__a89416a0fd; holiday__holiday-birthday-celebration-plushie-blue-whale-family__6ff1eda4f1; holiday__holiday-christmas-plushie-blue-whale-family__74ad899045; holiday__holiday-halloween-costume-plushie-blue-whale-family__db12fb87f0; mandala-geometry-patterns__mandala-geometry-patterns-plushie-blue-whale__69178ba3b5; plushie__plushie-blue-whale__17d0990688; plushie__plushie-blue-whale-family__b536e62edd,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-bobcat,Plushie Bobcat Coloring Pages,7,plushie bobcat,chibi__chibi-plushie-bobcat__485d33e8dc; holiday__holiday-birthday-celebration-plushie-bobcat-family__c08cbd11e1; holiday__holiday-christmas-plushie-bobcat-family__aa2d068887; holiday__holiday-halloween-costume-plushie-bobcat-family__36898ee647; mandala-geometry-patterns__mandala-geometry-patterns-plushie-bobcat__8807151712; plushie__plushie-bobcat__5e2d192d27; plushie__plushie-bobcat-family__4532317f83,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-cheetah,Plushie Cheetah Coloring Pages,7,plushie cheetah,chibi__chibi-plushie-cheetah__8db122da29; holiday__holiday-birthday-celebration-plushie-cheetah-family__b2eccccbc2; holiday__holiday-christmas-plushie-cheetah-family__cd3c5c5fbb; holiday__holiday-halloween-costume-plushie-cheetah-family__aa393c306d; mandala-geometry-patterns__mandala-geometry-patterns-plushie-cheetah__b640d15032; plushie__plushie-cheetah__c748ac1b09; plushie__plushie-cheetah-family__a3061ec075,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-cloud,Plushie Cloud Coloring Pages,7,plushie cloud,chibi__chibi-plushie-cloud-character__14aa2d7940; holiday__holiday-birthday-celebration-plushie-cloud-family__cc1c17af23; holiday__holiday-christmas-plushie-cloud-family__483d1794a5; holiday__holiday-halloween-costume-plushie-cloud-family__2a17bedeb9; mandala-geometry-patterns__mandala-geometry-patterns-plushie-cloud__8ebc1ad640; plushie__plushie-cloud-character__6f97d59e58; plushie__plushie-cloud-family__752fd7d6b5,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-coyote,Plushie Coyote Coloring Pages,7,plushie coyote,chibi__chibi-plushie-coyote__cfd8cb5205; holiday__holiday-birthday-celebration-plushie-coyote-family__0c77390dd3; holiday__holiday-christmas-plushie-coyote-family__e2b98ac06a; holiday__holiday-halloween-costume-plushie-coyote-family__ec9f3ce310; mandala-geometry-patterns__mandala-geometry-patterns-plushie-coyote__9d1b1ebc96; plushie__plushie-coyote__d06fcbed29; plushie__plushie-coyote-family__e67598b752,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-crab,Plushie Crab Coloring Pages,7,plushie crab,chibi__chibi-plushie-crab__0a927497b6; holiday__holiday-birthday-celebration-plushie-crab-family__dd0968a33f; holiday__holiday-christmas-plushie-crab-family__9bbfbe10ac; holiday__holiday-halloween-costume-plushie-crab-family__83c7650bbd; mandala-geometry-patterns__mandala-geometry-patterns-plushie-crab__fa5cbda9b2; plushie__plushie-crab__7b10916843; plushie__plushie-crab-family__48f338e7c6,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-duck,Plushie Duck Coloring Pages,7,plushie duck,chibi__chibi-plushie-duck__b6c74cea43; holiday__holiday-birthday-celebration-plushie-duck-family__934cacc813; holiday__holiday-christmas-plushie-duck-family__407bd23ca2; holiday__holiday-halloween-costume-plushie-duck-family__19c9d1249b; mandala-geometry-patterns__mandala-geometry-patterns-plushie-duck__6f2e4f389e; mandala-geometry-patterns__mandala-geometry-patterns-plushie-duck-animals__57786ac41d; plushie__plushie-duck-family__4520e116a4,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-fennec,Plushie Fennec Coloring Pages,7,plushie fennec,chibi__chibi-plushie-fennec-fox__3e3791b4fe; holiday__holiday-birthday-celebration-plushie-fennec-fox-family__88a42ceb07; holiday__holiday-christmas-plushie-fennec-fox-family__ad4ed0afd4; holiday__holiday-halloween-costume-plushie-fennec-fox-family__9c8e86ffd5; mandala-geometry-patterns__mandala-geometry-patterns-plushie-fennec-fox__05a88aabbf; plushie__plushie-fennec-fox__82e912ecfc; plushie__plushie-fennec-fox-family__6b675eb032,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-fennec-fox,Plushie Fennec Fox Coloring Pages,7,plushie fennec fox,chibi__chibi-plushie-fennec-fox__3e3791b4fe; holiday__holiday-birthday-celebration-plushie-fennec-fox-family__88a42ceb07; holiday__holiday-christmas-plushie-fennec-fox-family__ad4ed0afd4; holiday__holiday-halloween-costume-plushie-fennec-fox-family__9c8e86ffd5; mandala-geometry-patterns__mandala-geometry-patterns-plushie-fennec-fox__05a88aabbf; plushie__plushie-fennec-fox__82e912ecfc; plushie__plushie-fennec-fox-family__6b675eb032,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-giraffe,Plushie Giraffe Coloring Pages,7,plushie giraffe,chibi__chibi-plushie-giraffe__b73746824c; holiday__holiday-birthday-celebration-plushie-giraffe-family__b3675cae4e; holiday__holiday-christmas-plushie-giraffe-family__3ce5a6dbe2; holiday__holiday-halloween-costume-plushie-giraffe-family__1fd0a0f79c; mandala-geometry-patterns__mandala-geometry-patterns-plushie-giraffe__a118ea616f; plushie__plushie-giraffe__ac033ade30; plushie__plushie-giraffe-family__91011633a5,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-goose,Plushie Goose Coloring Pages,7,plushie goose,chibi__chibi-plushie-goose__080bd104a8; holiday__holiday-birthday-celebration-plushie-goose-family__41632da93e; holiday__holiday-christmas-plushie-goose-family__558b3c0792; holiday__holiday-halloween-costume-plushie-goose-family__6c181240a5; mandala-geometry-patterns__mandala-geometry-patterns-plushie-goose__2cb3526ba1; plushie__plushie-goose__ba54e95ffe; plushie__plushie-goose-family__482a1a089c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-hedgehog,Plushie Hedgehog Coloring Pages,7,plushie hedgehog,holiday__holiday-birthday-celebration-plushie-hedgehog-family__1d67ce2bb2; holiday__holiday-christmas-plushie-hedgehog-family__f40beaee50; holiday__holiday-halloween-costume-plushie-hedgehog-family__698004ec93; mandala-geometry-patterns__mandala-geometry-patterns-plushie-hedgehog__66beb4c442; mandala-geometry-patterns__mandala-geometry-patterns-plushie-hedgehog-animals__94553c366a; plushie__plushie-hedgehog__9cac079e16; plushie__plushie-hedgehog-family__1f3b659186,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-humpback,Plushie Humpback Coloring Pages,7,plushie humpback,chibi__chibi-plushie-humpback-whale__a7d7270711; holiday__holiday-birthday-celebration-plushie-humpback-whale-family__c620668ef4; holiday__holiday-christmas-plushie-humpback-whale-family__73d75ef17e; holiday__holiday-halloween-costume-plushie-humpback-whale-family__c88683c03f; mandala-geometry-patterns__mandala-geometry-patterns-plushie-humpback-whale__62db3522eb; plushie__plushie-humpback-whale__830b64e0f7; plushie__plushie-humpback-whale-family__69a869b6df,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-humpback-whale,Plushie Humpback Whale Coloring Pages,7,plushie humpback whale,chibi__chibi-plushie-humpback-whale__a7d7270711; holiday__holiday-birthday-celebration-plushie-humpback-whale-family__c620668ef4; holiday__holiday-christmas-plushie-humpback-whale-family__73d75ef17e; holiday__holiday-halloween-costume-plushie-humpback-whale-family__c88683c03f; mandala-geometry-patterns__mandala-geometry-patterns-plushie-humpback-whale__62db3522eb; plushie__plushie-humpback-whale__830b64e0f7; plushie__plushie-humpback-whale-family__69a869b6df,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-iguana,Plushie Iguana Coloring Pages,7,plushie iguana,chibi__chibi-plushie-iguana__3bc9de7ca7; holiday__holiday-birthday-celebration-plushie-iguana-family__9e447e3694; holiday__holiday-christmas-plushie-iguana-family__ca96461f58; holiday__holiday-halloween-costume-plushie-iguana-family__68da030e80; mandala-geometry-patterns__mandala-geometry-patterns-plushie-iguana__2aa74b6976; plushie__plushie-iguana__ddf261a79b; plushie__plushie-iguana-family__9f4c50c81e,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-jackal,Plushie Jackal Coloring Pages,7,plushie jackal,chibi__chibi-plushie-jackal__aab942cb2a; holiday__holiday-birthday-celebration-plushie-jackal-family__c7361579af; holiday__holiday-christmas-plushie-jackal-family__ead026662d; holiday__holiday-halloween-costume-plushie-jackal-family__3f829127df; mandala-geometry-patterns__mandala-geometry-patterns-plushie-jackal__20aad029f8; plushie__plushie-jackal__0394683b3a; plushie__plushie-jackal-family__d47fff4ab1,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-komodo,Plushie Komodo Coloring Pages,7,plushie komodo,chibi__chibi-plushie-komodo-dragon__c393e03850; holiday__holiday-birthday-celebration-plushie-komodo-dragon-family__8319ab1593; holiday__holiday-christmas-plushie-komodo-dragon-family__d67afb97e4; holiday__holiday-halloween-costume-plushie-komodo-dragon-family__c90921d351; mandala-geometry-patterns__mandala-geometry-patterns-plushie-komodo-dragon__e82332af9a; plushie__plushie-komodo-dragon__3b74d686aa; plushie__plushie-komodo-dragon-family__98963914c3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-komodo-dragon,Plushie Komodo Dragon Coloring Pages,7,plushie komodo dragon,chibi__chibi-plushie-komodo-dragon__c393e03850; holiday__holiday-birthday-celebration-plushie-komodo-dragon-family__8319ab1593; holiday__holiday-christmas-plushie-komodo-dragon-family__d67afb97e4; holiday__holiday-halloween-costume-plushie-komodo-dragon-family__c90921d351; mandala-geometry-patterns__mandala-geometry-patterns-plushie-komodo-dragon__e82332af9a; plushie__plushie-komodo-dragon__3b74d686aa; plushie__plushie-komodo-dragon-family__98963914c3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-lynx,Plushie Lynx Coloring Pages,7,plushie lynx,chibi__chibi-plushie-lynx__54651154e9; holiday__holiday-birthday-celebration-plushie-lynx-family__ae3d56b832; holiday__holiday-christmas-plushie-lynx-family__4ba8a7bcec; holiday__holiday-halloween-costume-plushie-lynx-family__f48d47ade7; mandala-geometry-patterns__mandala-geometry-patterns-plushie-lynx__4ac2d48267; plushie__plushie-lynx__04c58818eb; plushie__plushie-lynx-family__5d5139966f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-macaw,Plushie Macaw Coloring Pages,7,plushie macaw,chibi__chibi-plushie-macaw__61580cb786; holiday__holiday-birthday-celebration-plushie-macaw-family__0b41574d43; holiday__holiday-christmas-plushie-macaw-family__acafa3d912; holiday__holiday-halloween-costume-plushie-macaw-family__0829c50887; mandala-geometry-patterns__mandala-geometry-patterns-plushie-macaw__8b288c9dcd; plushie__plushie-macaw__57fa7a367d; plushie__plushie-macaw-family__d5b9e5efe0,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-manta,Plushie Manta Coloring Pages,7,plushie manta,holiday__holiday-birthday-celebration-plushie-manta-ray-family__1b9a11059f; holiday__holiday-christmas-plushie-manta-ray-family__be7ffde4df; holiday__holiday-halloween-costume-plushie-manta-ray-family__5ed3a33eea; mandala-geometry-patterns__mandala-geometry-patterns-plushie-manta-ray__23cac3660d; mandala-geometry-patterns__mandala-geometry-patterns-plushie-manta-raya__48636f5594; plushie__plushie-manta-ray__898cbf111d; plushie__plushie-manta-ray-family__786221ce68,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-meerkat,Plushie Meerkat Coloring Pages,7,plushie meerkat,chibi__chibi-plushie-meerkat__022438e185; holiday__holiday-birthday-celebration-plushie-meerkat-family__23c5ef3580; holiday__holiday-christmas-plushie-meerkat-family__6073c2b39e; holiday__holiday-halloween-costume-plushie-meerkat-family__7d4a7c42f9; mandala-geometry-patterns__mandala-geometry-patterns-plushie-meerkat__eddb6b24f1; plushie__plushie-meerkat__4587cbf631; plushie__plushie-meerkat-family__10c322d1ce,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-pangolin,Plushie Pangolin Coloring Pages,7,plushie pangolin,chibi__chibi-plushie-pangolin__8a0dbe8d5e; holiday__holiday-birthday-celebration-plushie-pangolin-family__3ce1bd37be; holiday__holiday-christmas-plushie-pangolin-family__8c961a7a81; holiday__holiday-halloween-costume-plushie-pangolin-family__175488db45; mandala-geometry-patterns__mandala-geometry-patterns-plushie-pangolin__9f8bc3f428; plushie__plushie-pangolin__c6cc2f0878; plushie__plushie-pangolin-family__788ec14fe3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
plushie-panther,Plushie Panther Coloring Pages,7,plushie panther,chibi__chibi-plushie-panther__91bcc8dcee; holiday__holiday-birthday-celebration-plushie-panther-family__e02fac7390; holiday__holiday-christmas-plushie-panther-family__c13f29352c; holiday__holiday-halloween-costume-plushie-panther-family__57d2bef471; mandala-geometry-patterns__mandala-geometry-patterns-plushie-panther__cd8a510e1e; plushie__plushie-panther__5ba4ad7c46; plushie__plushie-panther-family__cb97389491,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
