internal_identifier,public_title,route,canonical_url,parent_hub,child_hubs,collection_type,current_visible_count,independently_calculated_count,sitemap_count,first_page_result_count,total_unique_printable_ids,indexability,robots_directive,sitemap_inclusion,pagination_state,introduction_text,introduction_length,content_template_fingerprint,fingerprint_occurrences,repeated_headings,repeated_instructional_blocks,related_collection_sections,representative_image,representative_belongs_to_collection,distinct_narrower_subcollections,meaningful_internal_links,distinct_user_intent_evidence,suspicious_internal_or_production_wording,missing_or_inaccurate_description,count_inconsistency,preliminary_recommendation,recommendation_reason
hub_garden_flowers,Garden Flowers Coloring Pages,/coloring-pages/garden-flowers,https://www.ilovecoloringpage.com/coloring-pages/garden-flowers,hub_plants,,subject,95,95,1,48,95,index,"index,follow",true,2 pages,"Flower beds, mixed blooms, pots, borders, and outdoor floral arrangements define the garden-flower subset.",106,8ffcf63c,1,,0,1,chibi__chibi-flowers-tulip-garden__68470e6363,true,0,7,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_geometric,Geometric Coloring Pages,/coloring-pages/geometric,https://www.ilovecoloringpage.com/coloring-pages/geometric,hub_detailed_for_adults,,style,55,55,1,48,55,index,"index,follow",true,2 pages,"Explicit patterns, abstract arrangements, kaleidoscopes, fractals, spirals, and geometric mandalas form this corrected inventory.",129,cfbac623,1,,0,1,mandala__mandala-geometry-patterns-geometric-mandala__3369a57b28,true,0,8,weak filename/title evidence: 1.8% of members contain a route-subject token,,false,false,retain and index,"Corrected membership now represents a distinct, evidence-backed browsing intent."
hub_geometric_dogs,Geometric Dogs Coloring Pages,/coloring-pages/geometric-dogs,https://www.ilovecoloringpage.com/coloring-pages/geometric-dogs,hub_animals,,style,85,85,1,48,85,index,"index,follow",true,2 pages,"Dog portraits and silhouettes are built from repeated shapes, facets, lines, and decorative patterns.",101,1c8ff678,1,,0,1,mandala-geometry-patterns__mandala-geometry-patterns-dogs-akita-creative__64d3b64465,true,0,7,direct filename/title evidence: 95.3% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 95.3% of members contain a route-subject token
hub_giraffes,Giraffes Coloring Pages,/coloring-pages/giraffes,https://www.ilovecoloringpage.com/coloring-pages/giraffes,hub_animals,,subject,19,19,1,19,19,index,"index,follow",true,single page,"Giraffes appear in tall standing poses, family scenes, close portraits, and savanna settings.",93,75dcd77b,1,,0,1,anime-girls__anime-girl-summoning-jutsu-giraffes__b541aceb4c,true,0,6,weak filename/title evidence: 5.3% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 5.3% of members contain a route-subject token
hub_griffins,Griffins Coloring Pages,/coloring-pages/griffins,https://www.ilovecoloringpage.com/coloring-pages/griffins,hub_fantasy_creatures,,subject,21,21,1,21,21,index,"index,follow",true,single page,"Griffins combine eagle and lion features in heraldic poses, flight scenes, and fantasy settings.",96,6e0498b2,1,,0,1,chibi__chibi-dungeon-pet-griffin__7156ac6ffb,true,0,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_halloween,Halloween Coloring Pages,/coloring-pages/halloween,https://www.ilovecoloringpage.com/coloring-pages/halloween,hub_holidays,hub_pumpkins|hub_witches|hub_halloween_costume|hub_trick_or_treat,season or occasion,305,305,1,48,305,index,"index,follow",true,7 pages,"Costumes, pumpkins, witches, spooky characters, trick-or-treat scenes, and decorated settings fill this Halloween hub.",118,513f29dd,1,,0,1,anime-girls__anime-girl-zombie-halloween-png__93ec2c4c40,true,4,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_hedgehogs,Hedgehogs Coloring Pages,/coloring-pages/hedgehogs,https://www.ilovecoloringpage.com/coloring-pages/hedgehogs,hub_animals,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Hedgehogs appear curled, walking, holding small objects, and exploring garden or woodland scenes.",97,998caafd,1,,0,1,anime-girls__anime-girl-summoning-jutsu-hedgehogs__90bf98ebb8,true,0,6,weak filename/title evidence: 6.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.7% of members contain a route-subject token
hub_hippos,Hippos Coloring Pages,/coloring-pages/hippos,https://www.ilovecoloringpage.com/coloring-pages/hippos,hub_animals,,subject,16,16,1,16,16,index,"index,follow",true,single page,"Hippos appear in water, on riverbanks, in family groups, and as rounded character designs.",90,0cc36609,1,,0,1,anime-girls__anime-girl-summoning-jutsu-hippos__3ea75b764f,true,0,6,weak filename/title evidence: 6.3% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.3% of members contain a route-subject token
hub_holidays,Holidays Coloring Pages,/coloring-pages/holidays,https://www.ilovecoloringpage.com/coloring-pages/holidays,hub_coloring_pages,hub_birthday|hub_christmas|hub_halloween|hub_st_patricks_day|hub_leprechaun,season or occasion,874,874,1,48,874,index,"index,follow",true,19 pages,"Christmas, Halloween, birthdays, St. Patrick's Day, and other celebration-led designs meet in this seasonal hub.",112,cea830c3,1,,0,1,anime-girls__anime-girl-birthday-cake__a75fa3e263,true,5,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_horses,Horses Coloring Pages,/coloring-pages/horses,https://www.ilovecoloringpage.com/coloring-pages/horses,hub_animals,,subject,16,16,1,16,16,index,"index,follow",true,single page,"Horses appear running, standing, in portraits, with riders, and across open landscape scenes.",93,8669bab7,1,,0,1,holiday__holiday-birthday-celebration-horses__9d909d631e,true,0,6,weak filename/title evidence: 12.5% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 12.5% of members contain a route-subject token
hub_houses,Houses Coloring Pages,/coloring-pages/houses,https://www.ilovecoloringpage.com/coloring-pages/houses,hub_buildings,,subject,54,54,1,48,54,index,"index,follow",true,2 pages,"Homes range from cottages and town houses to stylized dwellings, exterior views, and neighborhood scenes.",105,bbfd8311,1,,0,1,christmas__holiday-christmas-christmas-village-with-snowy-houses-coloring-page__b297f1c694,true,0,8,weak filename/title evidence: 1.9% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 1.9% of members contain a route-subject token
hub_hydras,Hydras Coloring Pages,/coloring-pages/hydras,https://www.ilovecoloringpage.com/coloring-pages/hydras,hub_fantasy,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Multi-headed hydras appear in battle poses, mythic scenes, and detailed creature portraits.",91,fff75c23,1,,0,1,plushie__plushie-baby-hydra__4b6cab1173,true,0,7,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_indoor_plants,Indoor Plants Coloring Pages,/coloring-pages/indoor-plants,https://www.ilovecoloringpage.com/coloring-pages/indoor-plants,hub_plants,hub_bamboo|hub_palm,subject parent,128,128,1,48,128,index,"index,follow",true,3 pages,"Potted foliage, bamboo, palms, shelves, planters, and room-based plant arrangements define this indoor collection.",114,e1bb1bb8,1,,0,1,indoor-plants__indoor-plants-african-violet__633e0af20e,true,2,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_insects,Insects Coloring Pages,/coloring-pages/insects,https://www.ilovecoloringpage.com/coloring-pages/insects,hub_animals,hub_bees|hub_beetles|hub_butterflies|hub_spiders,subject parent,179,179,1,48,179,index,"index,follow",true,4 pages,"Bees, beetles, butterflies, spiders, and other small creatures appear in close views and nature settings.",105,877bfde8,1,,0,1,animals__animals-butterflies__016ffbb0de,true,4,8,direct filename/title evidence: 77.1% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 77.1% of members contain a route-subject token
hub_kawaii,Kawaii Coloring Pages,/coloring-pages/kawaii,https://www.ilovecoloringpage.com/coloring-pages/kawaii,hub_easy,,subject,88,88,1,48,88,index,"index,follow",true,2 pages,"Small animals, food, and objects use rounded forms, simple details, and expressive kawaii faces.",96,0847a579,1,,0,1,anime-girls__anime-girl-fluffy-clothes-kawaii__09f36541df,true,0,7,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_knights,Knights Coloring Pages,/coloring-pages/knights,https://www.ilovecoloringpage.com/coloring-pages/knights,hub_medieval_fantasy,,subject,39,39,1,39,39,index,"index,follow",true,single page,"Armored knights appear with shields, swords, horses, castles, and medieval-fantasy settings.",92,92361436,1,,0,1,anime-girls__anime-girl-knights-templar__f69f68c75b,true,0,8,weak filename/title evidence: 7.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 7.7% of members contain a route-subject token
hub_koalas,Koalas Coloring Pages,/coloring-pages/koalas,https://www.ilovecoloringpage.com/coloring-pages/koalas,hub_animals,,subject,22,22,1,22,22,index,"index,follow",true,single page,"Koalas appear climbing, resting in eucalyptus trees, in family groups, and as friendly characters.",98,3e07a68c,1,,0,1,anime-girls__anime-girl-summoning-jutsu-koalas__e9acaed12e,true,0,7,weak filename/title evidence: 4.5% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 4.5% of members contain a route-subject token
hub_lions,Lions Coloring Pages,/coloring-pages/lions,https://www.ilovecoloringpage.com/coloring-pages/lions,hub_animals,,subject,32,32,1,32,32,index,"index,follow",true,single page,"Lions appear in portraits, prides, walking poses, savanna scenes, and decorative mane studies.",94,1f4d81af,1,,0,1,gardening__gardening-mushroom-lions-mane__0719ae2d97,true,0,6,weak filename/title evidence: 18.8% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 18.8% of members contain a route-subject token
hub_lizards,Lizards Coloring Pages,/coloring-pages/lizards,https://www.ilovecoloringpage.com/coloring-pages/lizards,hub_reptiles,,subject,32,32,1,32,32,index,"index,follow",true,single page,"Lizards appear on rocks and branches, in close body studies, and with varied scales and tails.",94,347ccc19,1,,0,1,anime-girls__anime-girl-summoning-frilled-lizards__bd7ea724d6,true,0,7,weak filename/title evidence: 3.1% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 3.1% of members contain a route-subject token
hub_llamas,Llamas Coloring Pages,/coloring-pages/llamas,https://www.ilovecoloringpage.com/coloring-pages/llamas,hub_animals,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Llamas appear standing, in mountain settings, wearing decorations, and as playful character designs.",100,e99cd5d7,1,,0,1,anime-girls__anime-girl-summoning-jutsu-llamas__e271026a69,true,0,5,weak filename/title evidence: 6.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.7% of members contain a route-subject token
hub_mammoths,Mammoths Coloring Pages,/coloring-pages/mammoths,https://www.ilovecoloringpage.com/coloring-pages/mammoths,hub_prehistoric_animals,,subject,20,20,1,20,20,index,"index,follow",true,single page,"Mammoths appear with curved tusks, shaggy coats, herd scenes, and icy prehistoric settings.",91,1090e3af,1,,0,1,anime-girls__anime-girl-summoning-jutsu-woolly-mammoth-kawaii-plushies__06dda78301,true,0,7,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_mandalas,Mandalas Coloring Pages,/coloring-pages/mandalas,https://www.ilovecoloringpage.com/coloring-pages/mandalas,hub_detailed_for_adults,,style,23,23,1,23,23,index,"index,follow",true,single page,"The corrected mandala collection contains explicitly identified radial, floral, geometric, and Celtic-knot mandala designs.",123,9ca78e44,1,,0,1,mandala__mandala-geometry-patterns-animal-mandala-fox__3e8e80a2fd,true,0,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,"Corrected membership now represents a distinct, evidence-backed browsing intent."
hub_medieval_fantasy,Medieval Fantasy Coloring Pages,/coloring-pages/medieval-fantasy,https://www.ilovecoloringpage.com/coloring-pages/medieval-fantasy,hub_fantasy,hub_knights,subject parent,194,194,1,48,194,index,"index,follow",true,5 pages,"Knights, castles, armor, banners, creatures, and imagined old-world scenes define medieval fantasy here.",104,67549700,1,,0,1,anime-girls__anime-girl-medieval-knight-armor__55bc056bae,true,1,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_megalodon,Megalodon Coloring Pages,/coloring-pages/megalodon,https://www.ilovecoloringpage.com/coloring-pages/megalodon,hub_prehistoric_animals,,subject,16,16,1,16,16,index,"index,follow",true,single page,"Megalodon designs show the extinct shark in open water, near other sea life, and in dramatic close views.",105,5b6ddd4f,1,,0,1,dinosaurs__prehistoric-megalodon__eea15266f6,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_mermaids,Mermaids Coloring Pages,/coloring-pages/mermaids,https://www.ilovecoloringpage.com/coloring-pages/mermaids,hub_fantasy_creatures,,subject,26,26,1,26,26,index,"index,follow",true,single page,"Mermaid characters appear underwater, near reefs and shells, with sea creatures, and in decorative portraits.",109,b174821c,1,,0,1,anime-girls__anime-girl-mermaid-scale-armor__887218d4ed,true,0,6,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_monkeys,Monkeys Coloring Pages,/coloring-pages/monkeys,https://www.ilovecoloringpage.com/coloring-pages/monkeys,hub_animals,,subject,14,14,1,14,14,index,"index,follow",true,single page,"Monkeys appear climbing, swinging, sitting in groups, and moving through jungle or forest scenes.",97,5b5ab16b,1,,0,1,mandala-geometry-patterns__mandala-geometry-patterns-japan-snow-monkeys-in-onsen__02e5a60637,true,0,5,weak filename/title evidence: 7.1% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 7.1% of members contain a route-subject token
hub_moose,Moose Coloring Pages,/coloring-pages/moose,https://www.ilovecoloringpage.com/coloring-pages/moose,hub_animals,,subject,18,18,1,18,18,index,"index,follow",true,single page,"Moose appear with broad antlers, in forest and lakeside settings, and in calm standing poses.",93,c05e1303,1,,0,1,christmas__christmas-holiday-moose__64084d588b,true,0,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_mushrooms,Mushrooms Coloring Pages,/coloring-pages/mushrooms,https://www.ilovecoloringpage.com/coloring-pages/mushrooms,hub_plants,,subject,218,218,1,48,218,index,"index,follow",true,5 pages,"Single mushrooms, clusters, forest-floor scenes, patterned caps, and fantasy fungi form this plant-adjacent collection.",119,a1b27074,1,,0,1,gardening__gardening-mushroom-mossy-log-with-mushrooms__819a1a9a1a,true,0,8,weak filename/title evidence: 2.8% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 2.8% of members contain a route-subject token
hub_mythology,Mythology Coloring Pages,/coloring-pages/mythology,https://www.ilovecoloringpage.com/coloring-pages/mythology,hub_fantasy,,subject,227,227,1,48,227,index,"index,follow",true,5 pages,"Mythic figures and creatures draw from gods, heroes, monsters, symbols, and legendary scenes.",93,5b50d7cb,1,,0,1,anime-girls__anime-girl-greek-mythology__d024d88a00,true,0,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_ocean,Ocean Coloring Pages,/coloring-pages/ocean,https://www.ilovecoloringpage.com/coloring-pages/ocean,hub_coloring_pages,,subject,154,154,1,48,154,index,"index,follow",true,4 pages,"Waves, reefs, shorelines, underwater landscapes, vessels, and marine life share an ocean setting.",97,7d1dc6c3,1,,0,1,anime-girls__anime-girl-tentacle-yoga-in-ocean-smiling__dc79a75b99,true,0,8,weak filename/title evidence: 6.5% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.5% of members contain a route-subject token
hub_octopus,Octopus Coloring Pages,/coloring-pages/octopus,https://www.ilovecoloringpage.com/coloring-pages/octopus,hub_sea_life,,subject,20,20,1,20,20,index,"index,follow",true,single page,"Octopuses appear swimming, resting on the seabed, curling their arms, and exploring reef scenes.",96,6f475422,1,,0,1,anime-girls__anime-girl-octopus-hoodie-plushie__6202e52d7f,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_otters,Otters Coloring Pages,/coloring-pages/otters,https://www.ilovecoloringpage.com/coloring-pages/otters,hub_animals,,subject,21,21,1,21,21,index,"index,follow",true,single page,"Otters swim, float, hold objects, gather in pairs, and appear along rivers or coasts.",85,1e395211,1,,0,1,plushie__plushie-cute-otter__b34390d563,true,0,5,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_owls,Owls Coloring Pages,/coloring-pages/owls,https://www.ilovecoloringpage.com/coloring-pages/owls,hub_birds,,subject,28,28,1,28,28,index,"index,follow",true,single page,"Owls appear perched, flying, in close facial studies, and among woodland branches.",82,b54136f9,1,,0,1,birds__birds-owls__673b806fff,true,0,7,weak filename/title evidence: 10.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 10.7% of members contain a route-subject token
hub_pandas,Pandas Coloring Pages,/coloring-pages/pandas,https://www.ilovecoloringpage.com/coloring-pages/pandas,hub_animals,,subject,30,30,1,30,30,index,"index,follow",true,single page,"Pandas appear eating bamboo, climbing, sitting, in family groups, and as rounded characters.",92,972371aa,1,,0,1,holiday__holiday-birthday-celebration-pandas__86f068157f,true,0,6,weak filename/title evidence: 6.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.7% of members contain a route-subject token
hub_pegasus,Pegasus Coloring Pages,/coloring-pages/pegasus,https://www.ilovecoloringpage.com/coloring-pages/pegasus,hub_fantasy_creatures,,subject,29,29,1,29,29,index,"index,follow",true,single page,"Winged horses appear in flight, among clouds, in magical landscapes, and in decorative portraits.",97,181744d1,1,,0,1,chibi__chibi-flying-pegasus__3b3b6b5009,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_penguins,Penguins Coloring Pages,/coloring-pages/penguins,https://www.ilovecoloringpage.com/coloring-pages/penguins,hub_birds,,subject,20,20,1,20,20,index,"index,follow",true,single page,"Penguins appear on ice, swimming, in family groups, and in winter character scenes.",83,d9b3a8ad,1,,0,1,christmas__holiday-christmas-animals-penguins__9bccabdaf6,true,0,6,weak filename/title evidence: 15.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 15.0% of members contain a route-subject token
hub_phoenix,Phoenix Coloring Pages,/coloring-pages/phoenix,https://www.ilovecoloringpage.com/coloring-pages/phoenix,hub_fantasy,,subject,18,18,1,18,18,index,"index,follow",true,single page,"Phoenix designs emphasize sweeping wings, flame-like feathers, flight, and dramatic fantasy compositions.",105,50100584,1,,0,1,plushie__plushie-phoenix__ce1528f732,true,0,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_planes,Planes Coloring Pages,/coloring-pages/planes,https://www.ilovecoloringpage.com/coloring-pages/planes,hub_vehicles,,subject,92,92,1,48,92,index,"index,follow",true,2 pages,"Passenger aircraft, propeller planes, jets, and imaginative flying machines appear on runways or in flight.",107,0f866791,1,,0,1,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-planes-a-10-thunderbolt-ii__2b4b4c8bc7,true,0,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plants,Plants Coloring Pages,/coloring-pages/plants,https://www.ilovecoloringpage.com/coloring-pages/plants,hub_coloring_pages,hub_chibi_flowers|hub_flowers|hub_garden_flowers|hub_indoor_plants|hub_mushrooms|hub_trees,subject parent,586,586,1,48,586,index,"index,follow",true,13 pages,"Flowers, trees, mushrooms, potted plants, garden growth, and leafy arrangements form the broad plant collection.",112,f47688ad,1,,0,1,anime-girls__anime-girl-field-of-flowers-nature__401fe52b71,true,6,8,weak filename/title evidence: 21.8% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 21.8% of members contain a route-subject token
hub_playing_cards,Playing Cards Coloring Pages,/coloring-pages/playing-cards,https://www.ilovecoloringpage.com/coloring-pages/playing-cards,hub_coloring_pages,hub_chess,subject parent,12,12,1,12,12,index,"index,follow",true,single page,"Card suits, face cards, decks, hands, and game-table compositions make up this playing-card collection.",103,12b29988,1,,0,1,anime-girls__anime-girl-playing-cards-professionally__1d1ba96ada,true,1,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_animals,Plushie Animals Coloring Pages,/coloring-pages/plushie-animals,https://www.ilovecoloringpage.com/coloring-pages/plushie-animals,hub_animals,,style,105,105,1,48,105,index,"index,follow",true,3 pages,"Animals are rendered as stuffed toys with stitched details, rounded bodies, and soft character shapes.",102,5f3f1ea5,1,,0,1,anime-girls__anime-girl-armadillo-hoodie-animal-plushie__d2e31ff395,true,0,3,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_cats,Plushie Cats Coloring Pages,/coloring-pages/plushie-cats,https://www.ilovecoloringpage.com/coloring-pages/plushie-cats,hub_animals,,style,21,21,1,21,21,index,"index,follow",true,single page,"Cat and kitten subjects use stuffed-toy proportions, seams, patches, and rounded plush forms.",93,1c619e50,1,,0,1,plushie__plushie-kitten-cat__d91852677c,true,0,7,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_dogs,Plushie Dogs Coloring Pages,/coloring-pages/plushie-dogs,https://www.ilovecoloringpage.com/coloring-pages/plushie-dogs,hub_animals,,style,12,12,1,12,12,index,"index,follow",true,single page,Dog breeds and puppies appear as stitched toys with soft shapes and simplified features.,88,c101f251,1,,0,1,plushie__plushie-pets-dogs-labrador-retriever__bb94084dfd,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_dragons,Plushie Dragons Coloring Pages,/coloring-pages/plushie-dragons,https://www.ilovecoloringpage.com/coloring-pages/plushie-dragons,hub_fantasy_creatures,,style,75,75,1,48,75,index,"index,follow",true,2 pages,"Dragon features are translated into stuffed-toy forms with small wings, horns, seams, and rounded bodies.",105,ae27f166,1,,0,1,anime-girls__anime-girl-dragon-eggs-hoodie-plushie__b1747e4988,true,0,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_triceratops,Plushie Triceratops Coloring Pages,/coloring-pages/plushie-triceratops,https://www.ilovecoloringpage.com/coloring-pages/plushie-triceratops,hub_dinosaurs,,style,13,13,1,13,13,index,"index,follow",true,single page,"Triceratops designs use toy-like bodies, stitched details, compact frills, and rounded horns.",93,dcbc82ec,1,,0,1,plushie__plushie-prehistoric-triceratops__cfbd98566a,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_unicorns,Plushie Unicorns Coloring Pages,/coloring-pages/plushie-unicorns,https://www.ilovecoloringpage.com/coloring-pages/plushie-unicorns,hub_fantasy,,style,14,14,1,14,14,index,"index,follow",true,single page,"Unicorns appear as stitched toys with rounded hooves, small horns, soft manes, and compact bodies.",98,1d702005,1,,0,1,plushie__plushie-unicorn__1d3fec1967,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushie_whales,Plushie Whales Coloring Pages,/coloring-pages/plushie-whales,https://www.ilovecoloringpage.com/coloring-pages/plushie-whales,hub_sea_life,,style,27,27,1,27,27,index,"index,follow",true,single page,"Whales use stuffed-toy shapes, stitched fins, rounded bodies, and simple facial details.",88,a112c8b6,1,,0,1,plushie__plushie-blue-whale__17d0990688,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_plushies,Plushies Coloring Pages,/coloring-pages/plushies,https://www.ilovecoloringpage.com/coloring-pages/plushies,hub_coloring_pages,,style,1704,1704,1,48,1704,index,"index,follow",true,36 pages,"Stuffed-toy animals, creatures, characters, food, and objects share visible seams and rounded plush forms.",106,099e0d59,1,,0,1,anime-girls__anime-girl-ankylosaurus-hoodie-plushie__c819919e77,true,0,8,weak filename/title evidence: 9.3% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 9.3% of members contain a route-subject token
hub_prehistoric_animals,Prehistoric Animals Coloring Pages,/coloring-pages/prehistoric-animals,https://www.ilovecoloringpage.com/coloring-pages/prehistoric-animals,hub_animals,hub_dinosaurs|hub_mammoths|hub_megalodon,subject parent,220,220,1,48,220,index,"index,follow",true,5 pages,"Dinosaurs, mammoths, saber-toothed tigers, megalodon, dodos, and other extinct animals share this broader prehistoric collection.",129,8a2b65d3,1,,0,1,anime-girls__anime-girl-brachiosaurus-hoodie-plushie__73442e8b67,true,3,8,direct filename/title evidence: 68.2% of members contain a route-subject token,,false,false,retain and index,"The broader hub adds 31 extinct-animal records, including mammoths and saber-toothed tigers."
hub_pumpkins,Pumpkins Coloring Pages,/coloring-pages/pumpkins,https://www.ilovecoloringpage.com/coloring-pages/pumpkins,hub_halloween,,subject,23,23,1,23,23,index,"index,follow",true,single page,"Pumpkins appear as harvest produce, carved lanterns, decorated characters, and autumn or Halloween arrangements.",112,eeaf6ae7,1,,0,1,holiday__holiday-halloween-pumpkin-patch-with-family-picking-pumpkins-coloring-pa__236c4af6d3,true,0,7,weak filename/title evidence: 21.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 21.7% of members contain a route-subject token
hub_rabbits,Rabbits Coloring Pages,/coloring-pages/rabbits,https://www.ilovecoloringpage.com/coloring-pages/rabbits,hub_animals,,subject,22,22,1,22,22,index,"index,follow",true,single page,"Rabbits and bunnies appear sitting, hopping, in family groups, and among garden or woodland settings.",101,a1a4997a,1,,0,1,christmas__holiday-christmas-animals-rabbits__47b4b58f22,true,0,7,weak filename/title evidence: 13.6% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 13.6% of members contain a route-subject token
hub_reindeer,Reindeer Coloring Pages,/coloring-pages/reindeer,https://www.ilovecoloringpage.com/coloring-pages/reindeer,hub_christmas,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Reindeer appear with antlers, sleighs, Santa, gifts, and snowy Christmas settings.",82,1a6d65ed,1,,0,1,christmas__holiday-christmas-reindeer-rudolph-with-red-nose-coloring-page__b8f43869bd,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_reptiles,Reptiles Coloring Pages,/coloring-pages/reptiles,https://www.ilovecoloringpage.com/coloring-pages/reptiles,hub_animals,hub_lizards|hub_snakes|hub_turtles,subject parent,156,156,1,48,156,index,"index,follow",true,4 pages,"Snakes, lizards, turtles, and other scaled animals appear in portraits and habitat scenes.",90,83bd53f5,1,,0,1,anime-girls__anime-girl-reptile-martial-arts__8927e39f70,true,3,8,direct filename/title evidence: 62.8% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 62.8% of members contain a route-subject token
